MONTH,DATE,TIME_HR,TIME,SITE,FCH4_M,FCH4_SE,FCO2_M,FCO2_SE,FN2O_M,FN2O_SE,WATER_T,O2_CONC,O2_PERCENT,PH
Jun,6/29/14,6:00,1,ENG,0.712666667,0.316333333,231.5826667,65.3906736,0.010333333,0.007125853,31.06,1.51,20.956,7.34
Jun,6/28/14,8:00,2,ENG,0.482333333,0.108956158,-114.941,15.69633027,0.136,0.018681542,31.2,1.59,22.15,7.34
Jun,6/28/14,10:00,3,ENG,5.427,1.437,47.452,22.928,0.084,0.041,31.929,2.502,35.247,7.36
Jun,6/28/14,12:00,4,ENG,0.149,0,258.03,139.8038106,0.141,0.019595918,32.85,3.277,46.869,7.37
Jun,6/28/14,14:00,5,ENG,0.340666667,0.109340955,190.408,53.85187096,-0.074,0.037161808,33.665,3.354,48.641,7.36
Jun,6/28/14,16:00,6,ENG,0.543333333,0.035262508,102.5656667,91.46919246,-0.103,0.044433471,34.561,4.164,61.257,7.311
Jun,6/28/14,18:00,7,ENG,0.5405,0.502553646,69.54966667,32.57088995,-0.101666667,0.036771064,34.876,3.423,50.669,7.32
Jun,6/28/14,20:00,8,ENG,2.296,1.919513567,201.574,19.64245825,-0.01,0,34.303,4.33,63.447,7.473
Jun,6/28/14,22:00,9,ENG,0.012333333,0.086666667,372.1373333,140.3644136,0.061333333,0.011836854,32.759,2.566,36.633,8.1
Jun,6/29/14,0:00,10,ENG,0.164333333,0.04082619,223.2333333,109.8577519,0.024,0.007937254,30.699,2.663,36.731,8.01
Jun,6/29/14,2:00,11,ENG,0.080666667,0.087363862,131.682,24.31696065,0.0195,0.007756718,28.866,3.161,42.22,7.942
Jun,6/29/14,4:00,12,ENG,0.017333333,0.000666667,206.5793333,122.3777435,0.0085,0.000408248,27.333,1.807,23.506,7.934
Jun,6/29/14,6:30,1,NAT,1.602,0.71,64.50533333,18.90503908,-0.008333333,0.004255715,26.489,1.504,19.257,7.935
Jun,6/28/14,8:30,2,NAT,0,0,-128.3735,99.12472617,0.074,0.015513435,29.143,3.159,42.396,8.109
Jun,6/28/14,10:30,3,NAT,1.639,0,104.851,45.15561881,-0.0415,0.028985629,33.364,7.348,105.967,8.383
Jun,6/28/14,12:30,4,NAT,10.172,4.631060606,-57.778,0,0.019333333,0.032748198,39.377,11.63,185.071,8.76
Jun,6/28/14,14:30,5,NAT,0.622333333,0.392228816,111.6806667,117.4551998,0.08,0.027784888,33.668,3.353,48.622,7.358
Jun,6/28/14,16:30,6,NAT,2.135333333,1.057666667,-210.559,111.0059762,0.0675,0.000408248,33.296,3.603,51.933,7.45
