MONTH,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_PERCENT,PH,PCH4,PCO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O
Jan,DAY,ENG,01/04/15,8:00,2.0,0.0,0.063,-29.624,0.022,13.428,NA,NA,6.245,7.933,78.125,7.578,6.374,157.619,1.393,NA,NA,0.025,1.992,0.35275,0.611404259,0,2.07,2.629122317,0.270589575,-297.3389132,0.45149866
Jan,DAY,ENG,01/04/15,8:00,2.0,0.0,0.077,-11.647,0.022,13.428,NA,NA,6.245,7.933,78.125,7.578,5.566,123.874,1.427,NA,NA,0.013,1.000,0.35275,0.000406919,0,2.07,2.629122317,0.21845499,-683.5392448,0.521843199
Jan,DAY,ENG,01/04/15,8:00,2.0,0.0,0.000,-43.503,0.112,13.428,NA,NA,6.245,7.933,78.125,7.578,5.331,180.583,1.402,NA,NA,0.000,0.000,0.35275,0.000426045,0,2.07,2.629122317,0.182266235,-453.9859672,0.585872805
Jan,DAY,ENG,01/04/15,8:00,2.0,0.0,0.688,-17.682,0.021,13.428,NA,NA,6.245,7.933,78.125,7.578,NA,NA,NA,NA,NA,0.109,8.566,0.35275,0.001723252,NA,NA,NA,NA,NA,NA
Jan,DAY,ENG,01/04/15,10:00,4.0,0.0,0.009,49.427,-0.158,13.509,NA,NA,10.007,8.814,87.014,7.084,6.575,96.320,1.508,NA,NA,0.002,1.000,0.352428571,1.84444E-07,0.402335333,2.132571539,2.700701427,0.264577062,-78.98665386,0.371985358
Jan,DAY,ENG,01/04/15,10:00,4.0,0.0,0.074,50.783,-0.181,13.509,NA,NA,10.007,8.814,87.014,7.084,6.619,106.091,1.555,NA,NA,0.017,8.064,0.352428571,0.001749607,0.402335333,2.132571539,2.700701427,0.278265123,208.9884228,0.721784867
Jan,DAY,ENG,01/04/15,10:00,4.0,0.0,0.262,13.611,-0.090,13.509,NA,NA,10.007,8.814,87.014,7.084,6.849,72.974,1.558,NA,NA,0.060,29.445,0.352428571,0.002952326,0.402335333,2.132571539,2.700701427,0.296162569,24.34218709,0.734445697
Jan,DAY,ENG,01/04/15,10:00,4.0,0.0,0.274,50.729,0.002,13.509,NA,NA,10.007,8.814,87.014,7.084,NA,NA,NA,NA,NA,0.038,18.380,0.352428571,NA,NA,NA,NA,NA,NA,NA
Jan,DAY,ENG,01/04/15,12:00,6.0,0.0,0.481,222.480,-0.143,13.522,NA,NA,15.537,8.545,84.417,7.373,7.974,88.413,1.461,NA,NA,0.144,-72.464,0.351333333,NA,0.402335333,2.132571539,2.699429684,0.296774745,-854.813721,0.697406991
Jan,DAY,ENG,01/04/15,12:00,6.0,0.0,-0.005,-14.045,0.035,13.522,NA,NA,15.537,8.545,84.417,7.373,8.017,69.515,1.479,NA,NA,-0.002,1.000,0.351333333,NA,0.402335333,2.132571539,2.699429684,0.263634731,-932.7278245,0.904134573
Jan,DAY,ENG,01/04/15,12:00,6.0,0.0,0.346,-93.398,0.041,13.522,NA,NA,15.537,8.545,84.417,7.373,7.958,190.442,1.476,NA,NA,0.119,-60.011,0.351333333,NA,0.402335333,2.132571539,2.699429684,0.292748588,-273.2382321,1.338423052
Jan,DAY,ENG,01/04/15,12:00,6.0,0.0,0.041,1.062,-0.014,13.522,NA,NA,15.537,8.545,84.417,7.373,NA,NA,NA,NA,NA,0.013,-6.783,0.351333333,NA,NA,NA,NA,NA,NA,NA
Jan,DAY,ENG,01/04/15,14:00,8.0,0.0,0.137,-64.079,-0.088,13.596,NA,NA,23.631,9.420,93.197,7.853,6.372,114.276,1.387,NA,NA,0.039,-0.033,0.35,NA,0.670558888,2.219114444,2.801532874,0.277754783,-491.7941788,0.751704839
Jan,DAY,ENG,01/04/15,14:00,8.0,0.0,0.027,-49.725,0.008,13.596,NA,NA,23.631,9.420,93.197,7.853,6.831,101.049,1.402,NA,NA,0.008,-0.006,0.35,NA,0.670558888,2.219114444,2.801532874,0.333526718,18.05477832,0.814286111
Jan,DAY,ENG,01/04/15,14:00,8.0,0.0,0.674,-83.510,0.046,13.596,NA,NA,23.631,9.420,93.197,7.853,6.823,93.826,1.407,NA,NA,0.151,-0.129,0.35,NA,0.670558888,2.219114444,2.801532874,0.339585297,-174.0860748,0.939367591
Jan,DAY,ENG,01/04/15,14:00,8.0,0.0,2.786,0.000,0.034,13.596,NA,NA,23.631,9.420,93.197,7.853,NA,NA,NA,NA,NA,-1.173,1.000,0.35,NA,NA,NA,NA,NA,NA,NA
Jan,DAY,ENG,01/04/15,16:00,10.0,0.0,0.009,80.872,-0.035,13.637,NA,NA,20.881,9.916,98.160,7.784,5.702,147.093,1.498,NA,NA,0.002,-0.003,0.35,NA,0.670558888,2.219114444,2.797362104,0.230382648,-154.7087462,0.842553418
Jan,DAY,ENG,01/04/15,16:00,10.0,0.0,0.028,16.278,0.113,13.637,NA,NA,20.881,9.916,98.160,7.784,6.202,481.144,1.485,NA,NA,0.007,-0.010,0.35,NA,0.670558888,2.219114444,2.797362104,0.294575203,1533.159644,1.491218525
Jan,DAY,ENG,01/04/15,16:00,10.0,0.0,0.286,-27.143,0.175,13.637,NA,NA,20.881,9.916,98.160,7.784,6.134,130.089,1.519,NA,NA,0.057,-0.085,0.35,NA,0.670558888,2.219114444,2.797362104,0.277910613,-328.2461845,1.681106223
Jan,DAY,ENG,01/04/15,16:00,10.0,0.0,1.297,131.091,-0.018,13.637,NA,NA,20.881,9.916,98.160,7.784,NA,NA,NA,NA,NA,-0.667,1.000,0.35,NA,NA,NA,NA,NA,NA,NA
Jan,DAY,ENG,01/04/15,18:00,12.0,0.0,0.083,NA,0.141,13.480,NA,NA,10.676,8.184,80.738,7.969,69.543,103.393,1.558,NA,NA,0.152,1.120,0.352,0.510567031,0.670558888,2.219114444,2.813190475,5.397024243,-621.4454124,1.065437483
Jan,DAY,ENG,01/04/15,18:00,12.0,0.0,0.074,75.707,0.092,13.480,NA,NA,10.676,8.184,80.738,7.969,10.541,127.060,1.544,NA,NA,0.136,1.000,0.352,NA,0.670558888,2.219114444,2.813190475,0.632429951,-438.5910231,0.722226583
Jan,DAY,ENG,01/04/15,18:00,12.0,0.0,0.238,111.682,-0.467,13.480,NA,NA,10.676,8.184,80.738,7.969,8.032,121.048,1.560,NA,NA,0.430,3.165,0.352,0.000143107,0.670558888,2.219114444,2.813190475,0.440326884,179.4865115,0.863974279
Jan,DAY,ENG,01/04/15,18:00,12.0,0.0,0.748,26.398,0.527,13.480,NA,NA,10.676,8.184,80.738,7.969,NA,NA,NA,NA,NA,1.521,11.184,0.352,2.35174E-05,NA,NA,NA,NA,NA,NA
Jan,NIGHT,ENG,01/04/15,20:00,0.0,1.0,0.380,72.229,0.030,13.545,NA,NA,12.029,7.759,76.656,7.933,6.065,99.603,1.250,NA,NA,0.080,-0.150,0.352,7.21839E-06,0.670558888,2.219114444,2.806636182,0.256723851,-103.1782574,0.712935546
Jan,NIGHT,ENG,01/04/15,20:00,0.0,1.0,0.203,47.565,0.109,13.545,NA,NA,12.029,7.759,76.656,7.933,4.954,152.783,1.252,NA,NA,0.045,-0.085,0.352,0,0.670558888,2.219114444,2.806636182,0.18454338,344.0199935,0.487725207
Jan,NIGHT,ENG,01/04/15,20:00,0.0,1.0,0.552,NA,-1.033,13.545,NA,NA,12.029,7.759,76.656,7.933,6.072,104.248,1.311,NA,NA,0.101,-0.189,0.352,0,0.670558888,2.219114444,2.806636182,0.287300976,155.3492747,0.816753607
Jan,NIGHT,ENG,01/04/15,20:00,0.0,1.0,0.862,74.353,-0.279,13.545,NA,NA,12.029,7.759,76.656,7.933,NA,NA,NA,NA,NA,-0.532,1.000,0.352,NA,NA,NA,NA,NA,NA,NA
Jan,NIGHT,ENG,01/04/15,22:00,0.0,3.0,0.199,7.444,0.017,13.430,NA,NA,9.323,8.514,83.892,8.003,10617.960,72.380,1.208,NA,NA,5.779,1.478,0.351,NA,0.670558888,2.219114444,2.818259846,858.6866982,32.45887049,0.414115612
Jan,NIGHT,ENG,01/04/15,22:00,0.0,3.0,NA,21.051,-0.037,13.430,NA,NA,9.323,8.514,83.892,8.003,741.329,79.403,1.229,NA,NA,0.000,0.000,0.351,NA,0.670558888,2.219114444,2.818259846,59.80850652,-142.1057451,0.53336614
Jan,NIGHT,ENG,01/04/15,22:00,0.0,3.0,0.135,66.720,-0.110,13.430,NA,NA,9.323,8.514,83.892,8.003,107.885,85.405,1.230,NA,NA,3.909,1.000,0.351,NA,0.670558888,2.219114444,2.818259846,8.308541147,-220.9883915,0.527664103
Jan,NIGHT,ENG,01/04/15,22:00,0.0,3.0,0.153,43.582,0.045,13.430,NA,NA,9.323,8.514,83.892,8.003,NA,NA,NA,NA,NA,4.374,1.119,0.351,NA,NA,NA,NA,NA,NA,NA
Jan,NIGHT,ENG,01/05/15,0:00,0.0,5.0,0.299,55.518,0.299,13.407,NA,NA,8.224,8.352,82.266,7.992,6.607,70.643,1.331,NA,NA,0.063,-0.734,0.352,NA,0.670558888,2.219114444,2.820605362,0.273531069,57.47440834,0.946773252
Jan,NIGHT,ENG,01/05/15,0:00,0.0,5.0,0.237,62.117,0.177,13.407,NA,NA,8.224,8.352,82.266,7.992,5.735,82.520,1.268,NA,NA,0.049,-0.573,0.352,NA,0.670558888,2.219114444,2.820605362,0.181858741,77.87493587,0.629346779
Jan,NIGHT,ENG,01/05/15,0:00,0.0,5.0,0.141,37.547,0.160,13.407,NA,NA,8.224,8.352,82.266,7.992,5.867,68.718,1.263,NA,NA,0.059,-0.687,0.352,NA,0.670558888,2.219114444,2.820605362,0.227552727,-164.9785364,0.501307829
Jan,NIGHT,ENG,01/05/15,0:00,0.0,5.0,0.224,32.533,0.022,13.407,NA,NA,8.224,8.352,82.266,7.992,NA,NA,NA,NA,NA,-0.086,1.000,0.352,NA,NA,NA,NA,NA,NA,NA
Jan,NIGHT,ENG,01/05/15,2:00,0.0,7.0,NA,NA,0.027,13.392,NA,NA,12.205,9.038,88.965,7.953,6.103,73.064,1.363,NA,NA,0.000,0.000,0.352064516,NA,0.670558888,2.219114444,2.822128367,0.207527391,54.43660809,0.631061409
Jan,NIGHT,ENG,01/05/15,2:00,0.0,7.0,0.155,4.405,-0.142,13.392,NA,NA,12.205,9.038,88.965,7.953,6.122,72.563,1.299,NA,NA,0.065,-0.330,0.352064516,NA,0.670558888,2.219114444,2.822128367,0.250521964,-54.11921405,0.409751821
