MONTH,SEASON,PRECIP,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_EQ,AOU,EXC_O2,O2_PSAT,O2_PERCENT,PH,PCH4,PCO2,PCO2_AMB,WATER_TK,lnK0,K0,KH,PCO2_AMBEQ,PCO2_EQ,CO2_EXCESS,EXC_CO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O,CO2eCH4,CO2eN2O
Jun,Summer,1,DAY,ENG,06/28/14,8:00,2.0,0.0,0.310,-134.165,0.122,31.200,32.000,1010.400,7.348,1.590,10.758,9.168,-146.682,14.780,22.150,7.340,NA,NA,NA,304.350,-3.543,0.029,28.929,NA,NA,NA,NA,NA,5.772,1.306,1.989,1.431,0.3863,NA,NA,NA,NA,NA,NA,NA,7.757155673,36.30234882
Jun,Summer,1,DAY,ENG,06/28/14,8:00,2.0,0.0,0.453,-95.717,0.113,31.200,32.000,1010.400,7.348,1.590,10.758,9.168,-146.682,14.780,22.150,7.340,NA,NA,NA,304.350,-3.543,0.029,28.929,NA,NA,NA,NA,NA,6.150,0.961,3.167,2.088,0.3863,NA,NA,NA,NA,NA,NA,NA,11.31653714,33.67874222
Jun,Summer,1,DAY,ENG,06/28/14,8:00,2.0,0.0,0.684,NA,0.173,31.200,32.000,1010.400,7.348,1.590,10.758,9.168,-146.682,14.780,22.150,7.340,NA,NA,NA,304.350,-3.543,0.029,28.929,NA,NA,NA,NA,NA,6.175,0.929,4.762,3.140,0.3863,NA,NA,NA,NA,NA,NA,NA,17.11161652,51.43008941
Jun,Summer,1,DAY,ENG,06/28/14,10:00,4.0,0.0,NA,NA,0.043,31.929,32.000,1009.900,12.587,2.502,10.609,8.107,-129.701,23.588,35.247,7.360,NA,NA,NA,305.079,-3.561,0.028,28.421,NA,NA,NA,NA,NA,5.852,1.149,0.000,0.000,0.388017241,NA,NA,NA,NA,NA,NA,NA,NA,12.84564717
Jun,Summer,1,DAY,ENG,06/28/14,10:00,4.0,0.0,6.864,70.380,0.125,31.929,32.000,1009.900,12.587,2.502,10.609,8.107,-129.701,23.588,35.247,7.360,NA,NA,NA,305.079,-3.561,0.028,28.421,NA,NA,NA,NA,NA,5.993,0.994,47.189,2.261,0.388017241,NA,NA,NA,NA,NA,NA,NA,171.5976816,37.26631284
Jun,Summer,1,DAY,ENG,06/28/14,10:00,4.0,0.0,3.990,24.524,NA,31.929,32.000,1009.900,12.587,2.502,10.609,8.107,-129.701,23.588,35.247,7.360,NA,NA,NA,305.079,-3.561,0.028,28.421,NA,NA,NA,NA,NA,6.122,1.021,28.063,1.345,0.388017241,NA,NA,NA,NA,NA,NA,NA,99.74404034,NA
Jun,Summer,1,DAY,ENG,06/28/14,12:00,6.0,0.0,NA,NA,NA,32.850,33.000,1008.800,5.720,3.277,10.466,7.189,-115.019,31.310,46.869,7.370,126.300,110.382,72.203,306.000,-3.583,0.028,27.800,0.003,0.135,0.132,5.804,0.374,5.690,1.127,0.000,0.000,0.38946875,0.326112282,2.404979933,3.025713975,1.954929003,4.940909264,193.0381294,0.597392676,NA,NA
Jun,Summer,1,DAY,ENG,06/28/14,12:00,6.0,0.0,0.149,86.806,0.117,32.850,33.000,1008.800,5.720,3.277,10.466,7.189,-115.019,31.310,46.869,7.370,103.966,187.906,71.117,306.000,-3.583,0.028,27.800,0.003,0.230,0.227,9.980,0.375,5.777,1.188,25.440,35.299,0.38946875,NA,2.404979933,3.025713975,1.954929003,4.06717267,328.6126257,0.599850851,3.726695725,34.82139784
Jun,Summer,1,DAY,ENG,06/28/14,12:00,6.0,0.0,0.149,429.254,0.165,32.850,33.000,1008.800,5.720,3.277,10.466,7.189,-115.019,31.310,46.869,7.370,2.489,391.019,87.017,306.000,-3.583,0.028,27.800,0.004,0.478,0.475,20.886,0.373,5.897,0.860,1.003,1.392,0.38946875,NA,2.404979933,3.025713975,1.954929003,0.097377424,683.8178956,0.596458904,3.726695725,49.27612979
Jun,Summer,1,DAY,ENG,06/28/14,14:00,8.0,0.0,0.253,278.072,-0.105,33.665,33.600,1007.800,4.268,3.354,10.328,6.974,-111.576,32.478,48.641,7.360,NA,NA,NA,306.815,-3.602,0.027,27.270,NA,NA,NA,NA,NA,5.657,1.229,1.658,1.749,0.388365714,NA,NA,NA,NA,NA,NA,NA,6.328179892,-31.28430612
Jun,Summer,1,DAY,ENG,06/28/14,14:00,8.0,0.0,0.211,200.764,0.000,33.665,33.600,1007.800,4.268,3.354,10.328,6.974,-111.576,32.478,48.641,7.360,NA,NA,NA,306.815,-3.602,0.027,27.270,NA,NA,NA,NA,NA,5.770,0.957,1.365,1.441,0.388365714,NA,NA,NA,NA,NA,NA,NA,5.2809669,0
Jun,Summer,1,DAY,ENG,06/28/14,14:00,8.0,0.0,0.558,92.388,-0.117,33.665,33.600,1007.800,4.268,3.354,10.328,6.974,-111.576,32.478,48.641,7.360,NA,NA,NA,306.815,-3.602,0.027,27.270,NA,NA,NA,NA,NA,5.883,0.866,3.657,3.859,0.388365714,NA,NA,NA,NA,NA,NA,NA,13.93949198,-34.73555055
Jun,Summer,1,DAY,ENG,06/28/14,16:00,10.0,0.0,0.583,34.437,-0.034,34.561,35.000,1006.600,2.740,4.164,10.196,6.031,-96.499,40.843,61.257,7.311,NA,NA,NA,307.711,-3.623,0.027,26.707,NA,NA,NA,NA,NA,5.746,0.966,3.739,1.853,0.389330882,NA,NA,NA,NA,NA,NA,NA,14.56503645,-10.22166956
Jun,Summer,1,DAY,ENG,06/28/14,16:00,10.0,0.0,0.473,283.663,-0.089,34.561,35.000,1006.600,2.740,4.164,10.196,6.031,-96.499,40.843,61.257,7.311,NA,NA,NA,307.711,-3.623,0.027,26.707,NA,NA,NA,NA,NA,5.829,1.120,3.033,1.503,0.389330882,NA,NA,NA,NA,NA,NA,NA,11.82155628,-26.60752213
