MONTH,SEASON,PRECIP,DAYNIGHT,SITE,HR_SUNRISE,HR_SUNSET,FCH4,WATER_T,CHL,O2_CONC,O2_PERCENT,PH,CH4_k,COND,EBULL
Jun,Summer,1,DAY,ENG,6.0,0.0,NA,32.850,5.720,3.277,46.869,7.370,0.000,0.38946875,0.326112282
Jun,Summer,1,NIGHT,ENG,0.0,3.0,0.099,32.759,72.460,2.566,36.633,8.100,0.258,0.471,23.67293496
Jun,Summer,1,NIGHT,ENG,0.0,9.0,0.018,27.333,72.470,1.807,23.506,7.934,0.505,0.467222222,0.160538584
Jun,Summer,1,DAY,ENG,0.0,11.0,1.029,31.060,4.825,1.510,20.956,7.340,2.821,0.388112676,12.50186623
Jun,Summer,1,DAY,NAT,2.5,0.0,0.000,29.143,72.470,3.159,42.396,8.109,-35.149,0.458326531,41.10859599
Jun,Summer,1,DAY,NAT,2.5,0.0,NA,29.143,72.470,3.159,42.396,8.109,0.000,0.458326531,29.40772109
Jun,Summer,1,DAY,NAT,4.5,0.0,1.639,33.364,-1.547,7.348,105.967,8.383,4.455,0.457395349,10.76189064
Jun,Summer,1,DAY,NAT,4.5,0.0,1.639,33.364,-1.547,7.348,105.967,8.383,35.455,0.457395349,11.79638269
Jun,Summer,1,DAY,NAT,10.5,0.0,3.193,33.296,5.654,3.603,51.933,7.450,8.900,0.388904762,6.664280254
Jun,Summer,1,DAY,NAT,12.5,0.0,1.859,38.508,72.440,7.783,122.133,8.703,4.153,0.431,5.613428057
Jun,Summer,1,NIGHT,NAT,0.0,3.5,4.260,32.680,72.378,1.093,15.599,8.050,9.985,0.470364865,2.841003404
Jun,Summer,1,NIGHT,NAT,0.0,9.5,9.924,27.339,72.381,1.438,18.681,7.940,68.803,0.467986301,39.96429653
Jun,Summer,1,NIGHT,NAT,0.0,11.5,2.312,26.489,72.460,1.504,19.257,7.935,3.412,0.453808824,11.02792366
AugDry,Summer,2,DAY,NAT,6.5,0.0,1.842,30.000,28.292,3.965,53.849,8.367,46.675,0.625142857,7.978733251
AugDry,Summer,2,DAY,NAT,6.5,0.0,1.842,30.000,28.292,3.965,53.849,8.367,95.760,0.625142857,12.18846545
AugDry,Summer,2,DAY,NAT,10.5,0.0,8.907,30.000,37.398,4.921,67.702,8.363,49.399,0.714,31.35231567
AugDry,Summer,2,NIGHT,NAT,0.0,3.5,13.826,27.000,38.364,2.272,29.931,8.180,264.599,0.637974359,34.77477184
AugDry,Summer,2,NIGHT,NAT,0.0,5.5,1.819,26.000,26.554,2.466,32.194,8.180,14.193,0.609787234,26.35197747
AugDry,Summer,2,NIGHT,NAT,0.0,9.5,0.302,25.000,6.185,1.803,24.208,7.350,2.033,0.388384615,3.952045742
AugWet,Summer,1,DAY,ENG,2.0,0.0,0.052,30.493,7.845,1.163,15.984,7.364,5.737,0.392697828,5.439277694
AugWet,Summer,1,DAY,ENG,12.0,0.0,0.716,30.779,6.546,1.787,24.701,7.314,0.815,0.386911243,1.106176561
